"Term ID","Term Permalink","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured",Name,Description,Category,Keywords,"Post types",Mode,Align,"Icon Type",Icon,"Icon background","Icon foreground","Icon src","Render template","Render callback","Enqueue style","Enqueue script","Enqueue assets",Align,"Align arguments",Anchor,"Inner Block","Align Content","Align content",Mode,Multiple,"Form name","Field groups",Actions,"Field groups locations rules","Form element","Form attributes","Fields class","Submit button","Submit value","Submit button","Submit spinner",Honeypot,Kses,Uploader,"Field element","Label placement","Instruction placement","Override Form render","HTML Before render","HTML Form render","HTML After render","Hide general error","Hide successful re-validation","Hide confirmation on exit","Fields errors position","Fields errors class",Redirection,"Hide form","Success message","Success wrapper HTML",Field,Fields,"Get Field","Get Option",Request,"Query Var","Form Settings","Action Output: Post","Action Output: Term","Action Output: User","Action Output: Email","Current Post","Current Term","Current User","Current Author","Menu slug","Menu title",Capability,Position,"Parent slug","Icon url",Redirect,"Post ID",Autoload,"Update button","Updated Message",Name,Description,Hierarchical,Supports,Taxonomies,Public,"Exclude from search","Publicly queryable","Can export","Delete with user","Menu position","Menu icon","Show UI","Show in menu","Show in menu (text)","Show in nav menus","Show in admin bar",Template,"Has archive",Slug,"Posts per page","Order by",Order,Template,Rewrite,"Rewrite Arguments","Rewrite Arguments","Archive Page","Posts per page","Order by",Order,Labels,"Capability type",Capabilities,"Map meta cap","Show in rest","Rest base","Rest controller class",Name,Description,Hierarchical,"Post types",Public,"Publicly queryable","Update count callback","Meta box callback","Meta box callback",Sort,"Show UI","Show in menu","Show in nav menus","Show tagcloud","Show in quick edit","Show admin column",Template,"Posts per page","Order by",Order,Rewrite,"Rewrite Arguments","Rewrite Arguments","Terms per page","Order by",Order,Labels,Capabilities,"Show in rest","Rest base","Rest controller class","Service Hero Title","Service Hero Subtitle","Service Hero Intro","Offerings Heading","CTA Heading","CTA Subheading","CTA Button Text","CTA Button Link","Detailed Process","Client Name","Project Year","Project URL","The Challenge","Our Solution","Project Gallery","Project Types",Industries
22,https://casestudy-labs.com/project-type/creative-strategy/,"Creative Strategy",creative-strategy,"Translate your brand strategy into compelling campaigns. Our Creative Strategy service develops the core ideas and messaging that will captivate your audience.",16,Strategy,strategy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,https://casestudy-labs.com/project-type/market-research/,"Market Research",market-research,"Make smarter business decisions with in-depth Market Research. We uncover key customer insights, competitor analysis, and market trends to inform your strategy.",16,Strategy,strategy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,https://casestudy-labs.com/project-type/brand-positioning/,"Brand Positioning",brand-positioning,"Secure your unique place in the market. Our Brand Positioning service defines how your brand is perceived, creating a clear advantage over your competition.",16,Strategy,strategy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,https://casestudy-labs.com/project-type/social-media-strategy/,"Social Media Strategy",social-media-strategy,"Develops the plan for a brand's presence on social platforms, including channel selection, tone of voice, and campaign objectives",18,"Content &amp; Social",content-social,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,https://casestudy-labs.com/project-type/copywriting-editing/,"Copywriting &amp; Editing",copywriting-editing,"Crafting persuasive and brand-aligned text for websites, ads, social media, and other marketing materials.",18,"Content &amp; Social",content-social,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,https://casestudy-labs.com/project-type/blog-article-writing/,"Blog &amp; Article Writing",blog-article-writing,"Creating SEO-friendly, long-form content that builds authority, drives organic traffic, and educates your audience.",18,"Content &amp; Social",content-social,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,https://casestudy-labs.com/project-type/social-media-management/,"Social Media Management",social-media-management,"The day-to-day execution of the social strategy, including content scheduling, posting, and performance monitoring.",18,"Content &amp; Social",content-social,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,https://casestudy-labs.com/project-type/community-management/,"Community Management",community-management," Actively engaging with your online audience by responding to comments, messages, and fostering a loyal brand community.",18,"Content &amp; Social",content-social,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,https://casestudy-labs.com/project-type/video-motion-graphics/,"Video &amp; Motion Graphics",video-motion-graphics,"Producing video content for ads, social media, and websites, from short-form reels to animated explainer videos.",18,"Content &amp; Social",content-social,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,https://casestudy-labs.com/project-type/influencer-marketing/,"Influencer Marketing",influencer-marketing,"Identifying and collaborating with influencers to promote your brand to their established audiences.",18,"Content &amp; Social",content-social,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,https://casestudy-labs.com/project-type/ui-ux-design/,"UI/UX Design",ui-ux-design,"Create intuitive and delightful digital experiences. Our UI/UX Design service focuses on user-centric design to increase engagement and conversions.",17,"Web Design",web-design,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,https://casestudy-labs.com/project-type/wordpress-development/,"WordPress Development",wordpress-development,"Power your website with the world's most flexible CMS. We build custom, scalable, and easy-to-manage websites using WordPress for any business need.",17,"Web Design",web-design,1,http://casestudy-labs.com/wp-content/uploads/2025/06/cropped-android-chrome-512x512-1.png,android-chrome-512x512,,http://casestudy-labs.com/wp-content/uploads/2025/06/cropped-android-chrome-512x512-1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,https://casestudy-labs.com/project-type/e-commerce-development/,"E-commerce Development",e-commerce-development,"Build a powerful online store that drives sales. We develop robust e-commerce platforms with seamless checkout experiences to maximize your revenue.",17,"Web Design",web-design,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,https://casestudy-labs.com/project-type/shopify-development/,"Shopify Development",shopify-development,"Launch your e-commerce brand on Shopify. We design, build, and optimize beautiful, high-converting Shopify stores that are easy for you to manage.",17,"Web Design",web-design,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,https://casestudy-labs.com/project-type/website-maintenance/,"Website Maintenance",website-maintenance,"Keep your website secure, fast, and up-to-date. Our website maintenance plans provide peace of mind with regular updates, backups, and expert support.",17,"Web Design",web-design,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,https://casestudy-labs.com/project-type/landing-page-design/,"Landing Page Design",landing-page-design,"Convert more visitors into customers with high-impact Landing Page Design. We create focused pages optimized for a single call-to-action to boost your campaigns.",17,"Web Design",web-design,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,https://casestudy-labs.com/project-type/paid-social-facebook-instagram-etc/,"Paid Social (Facebook, Instagram, etc.)",paid-social-facebook-instagram-etc,"Reach your ideal customers on social media. Our Paid Social campaigns are optimized for ROI, driving leads and sales on platforms like Facebook &amp; Instagram.",19,"Media Buying",media-buying,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,https://casestudy-labs.com/project-type/paid-search-sem-google-ads/,"Paid Search (SEM / Google Ads)",paid-search-sem-google-ads,"Capture high-intent customers on Google. Our Paid Search (SEM) management service puts your brand at the top of search results for maximum visibility.",19,"Media Buying",media-buying,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,https://casestudy-labs.com/project-type/display-advertising/,"Display Advertising",display-advertising,"Build brand awareness with visually engaging Display Advertising. We place targeted banner ads across the web to keep your brand top-of-mind.",19,"Media Buying",media-buying,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,https://casestudy-labs.com/project-type/programmatic-advertising/,"Programmatic Advertising",programmatic-advertising,"Automate your ad buying with precision. Our Programmatic Advertising service uses data to find and target your most valuable audiences efficiently.",19,"Media Buying",media-buying,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,https://casestudy-labs.com/project-type/ad-campaign-management/,"Ad Campaign Management",ad-campaign-management,"Maximize your advertising ROI with expert Ad Campaign Management. We handle every detail, from creative development to optimization and reporting.",19,"Media Buying",media-buying,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,https://casestudy-labs.com/project-type/email-marketing/,"Email Marketing",email-marketing,"Nurture leads and drive sales with strategic Email Marketing. We design and manage compelling email campaigns that convert subscribers into loyal customers.",20,"Lifecycle Marketing",lifecycle-marketing,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,https://casestudy-labs.com/project-type/marketing-automation/,"Marketing Automation",marketing-automation,"Scale your marketing efforts intelligently. We set up Marketing Automation systems that deliver personalized experiences to the right person at the right time.",20,"Lifecycle Marketing",lifecycle-marketing,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,https://casestudy-labs.com/project-type/sms-marketing/,"SMS Marketing",sms-marketing,"Engage your customers directly with SMS Marketing. We create effective, compliant text message campaigns for promotions, alerts, and personalized offers.",20,"Lifecycle Marketing",lifecycle-marketing,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,https://casestudy-labs.com/project-type/customer-retention-strategy/,"Customer Retention Strategy",customer-retention-strategy,"Turn one-time buyers into lifelong fans. Our Customer Retention Strategies increase loyalty and lifetime value through targeted engagement and value-added programs.",20,"Lifecycle Marketing",lifecycle-marketing,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,https://casestudy-labs.com/project-type/lead-nurturing/,"Lead Nurturing",lead-nurturing,"Guide prospects from initial interest to purchase. Our Lead Nurturing strategies use targeted content and automation to build trust and close more deals.",20,"Lifecycle Marketing",lifecycle-marketing,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,https://casestudy-labs.com/project-type/brand-identity/,"Brand Identity",brand-identity,"Go beyond a logo with a complete Brand Identity system. We design the comprehensive visual and verbal language that defines your brand's entire experience.",11,"Branding &amp; Production",branding-production,0,http://casestudy-labs.com/wp-content/uploads/2025/06/ALL-THAT-CHOCOLATE-CASE-STUDY-LABS-scaled.jpg|http://casestudy-labs.com/wp-content/uploads/2025/06/ATC-CARDS.png|http://casestudy-labs.com/wp-content/uploads/2025/06/ATC-Pattern.png|http://casestudy-labs.com/wp-content/uploads/2025/06/ATC-TRI-FOLD-2025-1.jpg|http://casestudy-labs.com/wp-content/uploads/2025/06/ATC-TRI-FOLD-2025-2.jpg|http://casestudy-labs.com/wp-content/uploads/2025/06/ATC.png|http://casestudy-labs.com/wp-content/uploads/2025/06/ATC02.png|http://casestudy-labs.com/wp-content/uploads/2025/06/ATC03.png|http://casestudy-labs.com/wp-content/uploads/2025/06/HAWK-AND-FADE-CHARLOTTE-NC-BEST-BARBERSHOP.png,ALL-THAT-CHOCOLATE-CASE-STUDY-LABS|ATC-CARDS|ATC-Pattern|ATC-TRI-FOLD-2025-1.|ATC-TRI-FOLD-2025-2|ATC|ATC02|ATC03|HAWK-AND-FADE-CHARLOTTE-NC-BEST-BARBERSHOP,||||||||,||||||||,||||||||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,https://casestudy-labs.com/project-type/logo-design/,"Logo Design",logo-design,"Get a memorable, professional Logo Design that stands for quality. Our creative process ensures your logo is unique, versatile, and connects with your audience.",11,"Branding &amp; Production",branding-production,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,https://casestudy-labs.com/project-type/rebranding/,Rebranding,rebranding,"Evolve your brand for a new era of growth. Our Rebranding service expertly handles the strategy and design needed to refresh your identity and market position.",11,"Branding &amp; Production",branding-production,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
